Id,Date,Exercise_ID,Person ID,Total_Sets,Total_Reps,Average_Reps,Average_Weight,S1_Reps,S2_Reps,S3_Reps,S4_Reps,S5_Reps,S6_Reps,S7_Reps,S8_Reps,S1_Weight,S2_Weight,S3_Weight,S4_Weight,S5_Weight,S6_Weight,S7_Weight,S8_Weight
1,2020-06-29 00:00:00.000,1,1,4,60,15,8.75,15,15,15,15,0,0,0,0,8.75,8.75,8.75,8.75,0,0,0,0
2,2020-06-29 00:00:00.000,8,1,5,60,23.75,0,25,25,25,25,20,0,0,0,0,0,0,0,0,0,0,0
3,2020-06-28 00:00:00.000,5,1,6,60,13.33,13.33,10,10,15,15,15,15,0,0,10,10,15,15,15,15,0,0
4,2020-06-28 00:00:00.000,4,1,6,60,13.33,13.33,10,10,15,15,15,15,0,0,10,10,15,15,15,15,0,0
5,2020-06-27 00:00:00.000,7,1,6,60,13.33,6.67,10,10,15,15,15,15,0,0,5,5,7.5,7.5,7.5,7.5,0,0
6,2020-06-27 00:00:00.000,13,1,4,60,15,10,15,15,15,15,0,0,0,0,10,10,10,10,0,0,0,0
7,2020-06-26 00:00:00.000,3,1,6,60,13.33,13.33,10,10,15,15,15,15,0,0,10,10,15,15,15,15,0,0
8,2020-06-26 00:00:00.000,11,1,5,60,20,10,20,20,20,20,20,0,0,0,10,10,10,10,10,0,0,0
9,2020-06-25 00:00:00.000,9,1,5,60,15,5,15,15,15,15,15,0,0,0,5,5,5,5,5,0,0,0
11,2020-06-25 00:00:00.000,5,1,6,60,13.33,13.33,10,10,15,15,15,15,0,0,10,10,15,15,15,15,0,0
12,2020-06-24 00:00:00.000,4,1,6,60,13.33,13.33,10,10,15,15,15,15,0,0,10,10,15,15,15,15,0,0
13,2020-06-23 00:00:00.000,6,1,6,60,12.67,3.33,8,8,15,15,15,15,0,0,2.5,2.5,3.75,3.75,3.75,3.75,0,0
14,2020-06-23 00:00:00.000,10,1,4,60,20,20,20,20,20,20,0,0,0,0,20,20,20,20,0,0,0,0
